BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;31199;-1;<p:>;;;;;;;;;;
31200;2399;0;h;;He;h i:;;;;;;;
33600;2879;0;i:;;He;h i:;;;;;;;
36480;3839;1;w;;was;w Q z;;;;;;;
40320;3839;1;Q;;was;w Q z;;;;;;;
44160;6719;1;z;;was;w Q z;;;;;;;
50880;3839;2;s;;survived;s 3` v aI v d;;;;;;;
54720;1919;2;3`;;survived;s 3` v aI v d;;;;;;;
56640;1919;2;v;;survived;s 3` v aI v d;;;;;;;
58560;8639;2;aI;;survived;s 3` v aI v d;;;;;;;
67200;4319;2;v;;survived;s 3` v aI v d;;;;;;;
71520;4799;2;d;;survived;s 3` v aI v d;;;;;;;
76320;1439;3;b;;by;b aI;;;;;;;
77760;3839;3;aI;;by;b aI;;;;;;;
81600;6719;4;h\;;his;h I z;;;;;;;
88320;1919;4;I;;his;h I z;;;;;;;
90240;6719;4;z;;his;h I z;;;;;;;
96960;3359;5;w;;wife;w aI f;;;;;;;
100320;8159;5;aI;;wife;w aI f;;;;;;;
108480;1919;5;f;;wife;w aI f;;;;;;;
110400;3839;-1;<p:>;;;;;;;;;;
114240;1439;6;V;;and;V n d;;;;;;;
115680;6719;6;n;;and;V n d;;;;;;;
122400;1919;6;d;;and;V n d;;;;;;;
124320;2399;7;t;;two;t u:;;;;;;;
126720;2879;7;u:;;two;t u:;;;;;;;
129600;6239;8;s;;sons;s Q n z;;;;;;;
135840;8159;8;Q;;sons;s Q n z;;;;;;;
144000;4319;8;n;;sons;s Q n z;;;;;;;
148320;6239;8;z;;sons;s Q n z;;;;;;;
154560;17759;-1;<p:>;;;;;;;;;;
172320;2879;9;h;;who;h u:;;;;;;;
175200;11519;9;u:;;who;h u:;;;;;;;
186720;1439;10;R;;remained;R I m eI n d;;;;;;;
188160;6719;10;i:;;remained;R I m eI n d;;;;;;;
194880;4319;10;m;;remained;R I m eI n d;;;;;;;
199200;4319;10;eI;;remained;R I m eI n d;;;;;;;
203520;4799;10;n;;remained;R I m eI n d;;;;;;;
208320;1439;11;I;;in;I n;;;;;;;
209760;11999;11;n;;in;I n;;;;;;;
221760;2879;12;D;;the;D V;;;;;;;
224640;1439;12;V;;the;D V;;;;;;;
226080;2399;13;E;;area;E R i: V;;;;;;;
228480;1919;13;R;;area;E R i: V;;;;;;;
230400;1919;13;i:;;area;E R i: V;;;;;;;
232320;1439;13;V;;area;E R i: V;;;;;;;
233760;5279;-1;<p:>;;;;;;;;;;
239040;2399;14;f;;for;f O: R;;;;;;;
241440;2399;14;O:;;for;f O: R;;;;;;;
243840;1919;14;R;;for;f O: R;;;;;;;
245760;6239;15;s;;some;s V m;;;;;;;
252000;2399;15;V;;some;s V m;;;;;;;
254400;8159;15;m;;some;s V m;;;;;;;
262560;1439;16;j;;years;j I R z;;;;;;;
264000;5279;16;I;;years;j I R z;;;;;;;
269280;1439;16;R;;years;j I R z;;;;;;;
270720;5279;16;z;;years;j I R z;;;;;;;
276000;2879;-1;<p:>;;;;;;;;;;
278880;3359;17;{;;at;{ t;;;;;;;
282240;1439;17;t;;at;{ t;;;;;;;
283680;7679;-1;<p:>;;;;;;;;;;
291360;3839;18;l;;least;l i: s t;;;;;;;
295200;4799;18;i:;;least;l i: s t;;;;;;;
300000;4799;18;s;;least;l i: s t;;;;;;;
304800;1439;18;t;;least;l i: s t;;;;;;;
306240;44159;-1;<p:>;;;;;;;;;;
